Rank,Address,Quantity,Percentage,Value
1,Binance: SAFU Wallet,100000001.05000332,0.029585817452906008,100100001.05
2,0x7efaef62fddcca950418312c6c91aef321375a00,97557226.11649679,0.028863102527881948,97654783.34
3,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,54394523.77763442,0.016093064340250762,54448918.3
4,Venus: vUSDT Token,51612509.29086712,0.015269982621324774,51664121.8
5,Stargate Finance: S*USDT Token,48861848.291465,0.014456177087838367,48910710.14
6,Binance: Hot Wallet 6,48402912.03985231,0.014320397047636725,48451314.95
7,Binance: Hot Wallet 16,39870263.90458371,0.011795943372944213,39910134.17
8,0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,35843003.38094965,0.010604445438579664,35878846.38
9,Binance: Hot Wallet 10,35088376.99395962,0.010381183055617594,35123465.37
10,0x19a00e359990ec7daf6e9dd9a2fb7664014bb5f7,28970334.846545555,0.008571110293197643,28999305.18
11,Binance: Hot Wallet 7,26763259.724949062,0.007918129083529925,26790022.98
12,0x4f3126d5de26413abdcf6948943fb9d0847d9818,25749746.33280309,0.007618272864617363,25775496.08
13,0x21d45650db732ce5df77685d6021d7d5d1da807f,25464922.58893811,0.007534005432579748,25490387.51
14,0x3a7d1a8c3a8dc9d48a68e628432198a2ead4917c,24772159.65887891,0.007329045858863114,24796931.82
15,Gate.io,22762581.329408575,0.006734495688975658,22785343.91
16,0x6a0b3611214d5001fa5efae91b7222a316c12b52,22635753.7,0.006696972698452981,22658389.45
17,0x0966602e47f6a3ca5692529f1d54ecd1d9b09175,20912864.74772984,0.006187241923470237,20933777.61
18,Mexc.com 3,20804050.1313531,0.00615504823004497,20824854.18
19,0x4ff2dd7c6435789e0bb56b0553142ad00878a004,18817155.22597502,0.005567209136531052,18835972.38
20,0x4f31fa980a675570939b737ebdde0471a4be40eb,17478115.47671756,0.005171043284853644,17495593.59
21,0xb563c72d3b5514fa098f9a588523915469dcfd88,16721329.2669,0.0049471419006592255,16738050.6
22,0x36696169c63e42cd08ce11f5deebbcebae652050,16202281.756012285,0.004793577453206566,16218484.04
23,0xe2e912f0b1b5961be7cb0d6dbb4a920ace06cd99,16090968.659176152,0.004760644563921248,16107059.63
24,0xa5abfb56a78d2bd4689b25b8a77fd49bb0675874,15589976.274291703,0.0046124218730327175,15605566.25
25,0xf89d7b9c864f589bbf53a82105107622b35eaa40,15285194.02280506,0.0045222495534258346,15300479.22
26,0x8840c6252e2e86e545defb6da98b2a0e26d8c1ba,15213125.71414547,0.004500927555408293,15228338.84
27,0xd52eee54248a0e3ab2416385d5fb112840c81826,14573475.661612673,0.004311681860515609,14588049.14
28,0xfa500178de024bf43cfa69b7e636a28ab68f2741,13766901.195288409,0.004073050213792801,13780668.1
29,0x5c3e23b3fe64cdcbea39ddbaae3ccda60e0b13d1,13165004.55,0.003894974172932412,13178169.55
30,0x7818c7ed634074d42a3b9392f7861f96d276bff3,11193719.205454731,0.003311753295543198,11204912.92
31,0x158da805682bdc8ee32d52833ad41e74bb951e59,11143662.06315133,0.003296943480954676,11154805.73
32,0xe2c3da7fca5d851c28539fa98db2167d1bdf95bb,8881374.010738885,0.002627627074536872,8890255.38
33,0x11e82e2997a05c478c3348376fdb493671e2f935,8625741.372311354,0.002551996069575783,8634367.11
34,BSC: Token Hub,8484589.461510746,0.002510235123353518,8493074.05
35,0x1b6f2d3844c6ae7d56ceb3c3643b9060ba28feb0,8405138.217349418,0.0024867288235387018,8413543.36
36,0x85cf05f35b6d542ac1d777d3f8cfde57578696fc,8107488.140762203,0.0023986666161558297,8115595.63
37,0x4f95fe57bea74b7f642cf9c097311959b9b988f7,8092039.36426451,0.0023940959693905064,8100131.4
38,0xda07f1603a1c514b2f4362f3eae7224a9cdefaf9,8000000.000003295,0.0023668653713812904,8008000.0
39,0x169f653a54acd441ab34b73da9946e2c451787ef,7529116.123785024,0.0022275505288109954,7536645.24
40,0x4efab445c8f9eed89b39429b6b2bb04a1767251b,7500000.1196909,0.0022189363210805765,7507500.12
41,0x30c3002f742ad0811169d307ca39863209c80540,7164976.93613722,0.0021198169746102272,7172141.91
42,0x92b7807bf19b7dddf89b706143896d05228f3121,7068857.441771611,0.002091379236769159,7075926.3
43,0x22798237e14ec366eeae47b0a2524b1b306f2d58,6950093.3751064,0.002056241917174885,6957043.47
44,BUSD-T Stablecoin,6438786.485026972,0.0019049675956402403,6445225.27
45,0xc8f797c5744f38c62dfe41e80edc50876b982d2c,6353275.62,0.0018796685074766006,6359628.9
46,0xbf957e1c121fa769580d29bf320ee8bff138ad12,6250989.421413893,0.0018494062998011523,6257240.41
47,0xc686d5a4a1017bc1b751f25ef882a16ab1a81b63,6199979.764042,0.001834314675846214,6206179.74
48,0x9911092e2fb28a02a3eeee1d496fc69f7772c75a,6103392.697230325,0.001805738602876245,6109496.09
49,0xbe60d4c4250438344bec816ec2dec99925deb4c7,5970553.966053087,0.0017664371787760572,5976524.52
50,0xda8ceb724a06819c0a5cdb4304ea0cb27f8304cf,5957744.894848841,0.0017626475103919477,5963702.64
51,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,5842259.045029677,0.001728480078039272,5848101.3
52,0x297b0e9b82895b249d350441b7da8f12a054225c,5621134.950001929,0.0016630587076268985,5626756.08
53,0x77dc993fb37c836016af14a276328933d60e224a,5385801.0,0.0015934332355056844,5391186.8
54,0x56152e13828f78cdcc90a6b016df0aec0985e2f3,5369846.887315956,0.001588713080900314,5375216.73
55,0xa987f0b7098585c735cd943ee07544a84e923d1d,5320949.327246082,0.0015742463381910174,5326270.28
56,0x63ec770b81df609161e4a5e159d33dc68f92f22d,5282960.955324343,0.0015630071679389324,5288243.92
57,0xf585d0e27949c6bb58c752e949d89c25f22201a6,5000000.0,0.0014792908571126973,5005000.0
58,0x09cb618bf5ef305fadfd2c8fc0c26eecf8c6d5fd,4962799.695692095,0.0014682848431037984,4967762.5
59,0x2b8cc56e68e659404a5a3dc097dcf992f287ad9f,4786180.0,0.0014160304628991298,4790966.18
60,0x10d2bd61f6564467210c9cc1af47a8fb6a5eae59,4765295.27720017,0.0014098515470009055,4770060.57
61,0x76d1e324757d7e6765df1ecfd6ba6f20ca04bb93,4726768.971807963,0.001398453224735901,4731495.74
62,0xc6dea2cb1731086fbf72c10661e80a324da40b09,4723574.480242457,0.0013975081083027056,4728298.05
63,0x91dca37856240e5e1906222ec79278b16420dc92,4402850.116044577,0.0013026191843804643,4407252.97
64,0xc277e754197731e5ea906117e6fca9ad0c392037,4381367.002089,0.0012962632295691052,4385748.37
